Legend,Source,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,Total (2018-2024),Annual Average (2018-2024),Comments,
Industrial Research Funds,Research (Berkeley only),20584189,25096496,26605738,23479193,24834119,23661767,22907166,15701583,"3,307,551",2521255,"1,826,999","7,213,002","6,746,056","601,034","3,261,406","4,590,540","579,702","3,545,534","3,545,534","3,545,534","3,545,534","3,545,534","24,818,739","3,545,534",,
Industrial Research Subawards,reports,,,,,,,,,,,"10,083","80,974","60,500","5,041","55,458","60,500","67,500",,,,,,"340,056","48,579",,
EBI Squared,EBI Squared,,,,,,,,,,,0,"34,373","127,839","50,507","66,815","162,304","118,231","140,268","140,268","140,268","140,268","140,268","560,070","93,345",,
EBI-Shell Admistration fee,Admistration fee,,,,,,,,,,,"500,000","500,000","500,000","500,000","840,000","840,000","840,000","840,000","840,000","840,000",,,"4,520,000","645,714",,
Awarded grants,NSF (IBMC),,,,,,,,,,,0,0,0,0,0,0,0,"1,000,000","1,000,000","1,000,000","1,000,000","900,020",0,,,
Awarded grants,Scown_DOE,,,,,,,,,,,0,"1,000,000",0,0,0,0,0,0,0,0,0,0,"1,000,000",,,
Awarded grants,Scown_Livermore,,,,,,,,,,,0,0,0,0,"120,000",0,0,0,0,0,0,0,"320,000",,,
Awarded grants,Scown_UC Santa Cruz,,,,,,,,,,,0,0,0,0,0,"200,000",0,0,0,0,0,0,"200,000",,,
Awarded grants,Scown_Schmidt,,,,,,,,,,,0,0,0,0,0,0,"1,358,000","1,358,000","1,358,000","1,358,000","1,358,000",0,"1,358,000",,"6,790,000",divided by 5 years
Awarded grants,Coates_Lab,,,,,,,,,,,0,0,0,0,"322,000","322,000",0,0,0,0,0,0,"644,000",,"644,000",split in 2 years
EBI Squared,EBI Recharge ,,,,,,,,,,,,,,,,,,,,,,,"3,522,000","503,143",average for all non-industrial grants,
,,,,,,,,,,,,,,,,,,,,,,,,"33,760,865","4,822,981",Total amount,
